Issue Type,Summary,Description,Epic Link,Labels,Priority
Epic,[SCRUM03-F001] Authentication,"Feature: Authentication

Description: Secure access to AIO Student's Hub through login, logout, authentication state, protected resources, authorization, and secure credential handling.

Source basis: README Core Features — Authentication.",,scrum-03,Medium
Epic,[SCRUM03-F002] Dashboard,"Feature: Dashboard

Description: A consolidated student-facing overview of upcoming assignments, examinations, recent announcements, attendance, academic information, pending reminders, notifications, and placement updates. The Dashboard acts as a presentation and aggregation layer rather than owning the business logic of other modules.

Source basis: README — Dashboard.",,scrum-03,Medium
Epic,[SCRUM03-F003] Attendance,"Feature: Attendance

Description: Student access to attendance information including subject, classes attended, total classes, and attendance percentage. Where applicable, attendance can be synchronized from an existing college portal through the portal integration infrastructure.

Source basis: README — Attendance.",,scrum-03,Medium
Epic,[SCRUM03-F004] Academics,"Feature: Academics

Description: General academic information including subject information, internal marks, academic performance information, and other academic records. Information may be retrieved from existing college systems through the portal integration layer.

Source basis: README — Academics.",,scrum-03,Medium
Epic,[SCRUM03-F005] Examinations,"Feature: Examinations

Description: Examination-related information including examination schedules, examination dates, examination-related announcements, and other relevant examination information. Supported college portals may supply synchronized examination information.

Source basis: README — Examinations.",,scrum-03,Medium
Epic,[SCRUM03-F006] Announcements,"Feature: Announcements

Description: Centralized access to college notices, department announcements, examination notices, academic deadlines, events, and administrative updates, with source and timestamp traceability. Announcements may originate from supported college portals or other configured sources.

Source basis: README — Announcements.",,scrum-03,Medium
Epic,[SCRUM03-F007] Placements,"Feature: Placements

Description: Centralized placement information including placement opportunities, company information, eligibility requirements, recruitment updates, important dates, preparation resources, and interview experiences. Placement information may come from supported college placement systems, and senior students can contribute experiences and preparation information.

Source basis: README — Placements.",,scrum-03,Medium
Epic,[SCRUM03-F008] Study Materials,"Feature: Study Materials

Description: Centralized academic-resource access supporting browsing, searching, filtering, subject-related resources, and permitted uploads/contributions. Resources may include notes, PDFs, reference documents, subject materials, and previous academic resources. Materials are connected with Assignments through subject or relevant academic context.

Source basis: README — Materials.",,scrum-03,Medium
Epic,[SCRUM03-F009] Assignments,"Feature: Assignments

Description: Student task management supporting creation, viewing, editing, deletion, due dates, subject association, descriptions, completion status, upcoming assignments, and overdue identification. Assignments interact with Reminders, Notifications, and Study Materials.

Source basis: README — Assignments.",,scrum-03,Medium
Epic,[SCRUM03-F010] Reminders,"Feature: Reminders

Description: Time-sensitive student reminders associated with assignments, examinations, important deadlines, and other student-created events. Reminders may be created directly, created by other modules, and processed by background jobs.

Source basis: README — Reminders.",,scrum-03,Medium
Epic,[SCRUM03-F011] Notifications,"Feature: Notifications

Description: Notifications that inform students about upcoming assignment deadlines, reminder triggers, important announcements, and other relevant academic events. Notification delivery and processing are separated from core domain logic.

Source basis: README — Notifications.",,scrum-03,Medium
